Unnamed: 0;date;ticker;sector;title;content;sentiment
0;11/07/24 11:33;AC;Hôtellerie Restauration Tourisme;Accor: Deutsche Bank réduit son objectif de cours;Deutsche Bank a annoncé jeudi avoir ramené son objectif de cours sur Accor de 48 à 47 euros, tout en maintenant son conseil d'achat sur le titre.Dans une note de recherche, l'analyste explique que le groupe hôtelier français dispose d'une empreinte géographique spécifique qui devrait lui permettre de faire croître son revenu par chambre disponible (RevPAR) à un rythme plus rapide qu'une grande partie de ses concurrents.L'intermédiaire réaffirme ainsi sa prévision d'une croissance du RevPAR de l'ordre de 7% cette année, à comparer avec l'objectif de 3% à 4% fixé par le groupe lui-même et un consensus établi à 4,5%.Deutsche Bank dit cependant réviser à la baisse sa prévision concernant l'évolution du chiffre d'affaires pour la période 2024/2026, désormais attendue à -0,6%, tout comme celle sur son Ebitda, réduite de 2%.'Malgré tout, nous pensons qu'Accor devrait rester en mesure d'améliorer sa marge opérationnelle (Ebitda) entre 70 et 110 points de pourcentage par an entre 2023 et 2026', conclut-il.;positive
1;05/07/24 16:30;AC;Hôtellerie Restauration Tourisme;Accor: BlackRock détient moins de 5% des votes;La société BlackRock, agissant pour le compte de clients et de fonds dont elle assure la gestion, a déclaré à l'AMF avoir franchi en baisse, le 4 juillet 2024, le seuil de 5% des droits de vote de la société Accor et détenir, pour le compte desdits clients et fonds, 5,31% du capital et 4,62% des droits de vote de cette société.Ce franchissement de seuil résulte d'une diminution du nombre d'actions Accor détenues à titre de collatéral.;negative
2;28/06/24 15:36;AC;Hôtellerie Restauration Tourisme;Accor: BlackRock dépasse les 5% des votes;BlackRock, agissant pour le compte de clients et de fonds dont elle assure la gestion, a déclaré à l'AMF avoir franchi en hausse, le 26 juin, le seuil de 5% des droits de vote d'Accor, au résultat d'une augmentation du nombre d'actions détenues à titre de collatéral.Le géant américain de la gestion d'actifs a précisé détenir, pour le compte desdits clients et fonds, 15.419.030 actions représentant autant de droits de vote, soit 6,36% du capital et 5,40% des droits de vote de la chaine hôtelière.;positive
3;26/06/24 13:12;AC;Hôtellerie Restauration Tourisme;Accor: BlackRock dépasse les 5% des votes;BlackRock, agissant pour le compte de clients et de fonds, a déclaré à l'AMF avoir franchi en hausse, le 24 juin, le seuil de 5% des droits de vote d'Accor et détenir 6,02% du capital et 5,10% des droits de vote de la chaine hôtelière.Le mastodonte américain de la gestion d'actif précise que ce franchissement de seuil résulte d'une acquisition d'actions Accor hors marché et d'une augmentation du nombre d'actions détenues à titre de collatéral.;positive
4;21/06/24 13:28;AC;Hôtellerie Restauration Tourisme;Accor: protocole d'accord signé avec Covivio;Covivio annonce la signature d'un protocole d'accord avec AccorInvest portant sur le remembrement de la propriété des murs et fonds de commerce d'hôtels détenus conjointement, opération qui devrait être finalisée au dernier trimestre 2024.Le protocole porte sur l'acquisition par Covivio Hotels de 24 fonds de commerce en contrepartie du transfert à AccorInvest des murs de 10 autres hôtels qui seront alors détenus en murs et fonds par AccorInvest. Il porte aussi sur l'acquisition par Covivio Hotels et ses partenaires de 19 fonds de commerce pour deux joints-ventures (avec Crédit Agricole Assurance et la CDC) en contrepartie du transfert à AccorInvest des murs de six autres hôtels. Au total, les opérations de remembrement font ressortir une valeur de murs d'hôtels cédés par Covivio Hôtels et ses partenaires de 393 millions d'euros, équivalente à celle des fonds de commerce détenus et exploités par les sociétés dont les titres seront acquis.;positive
5;19/06/24 15:01;AC;Hôtellerie Restauration Tourisme;Accor: Barclays relève sa recommandation à 'surpondérer';Barclays a relevé mercredi sa recommandation sur le titre Accor de 'pondérer en ligne' à 'surpondérer' avec un objectif de cours rehaussé de 33 à 48 euros.Dans une note, le bureau d'études explique qu'il considère comme injustifiée la récente sous-performance du titre face à ses principaux comparables.L'analyste fait remarquer que le titre a significativement sous-performé ses pairs ces 12 derniers mois pour désormais afficher une décote de 34% par rapport à InterContinental Hotels Group (IHG).La valeur accuse également une décote par rapport à sa propre moyenne historique.Pourtant, fait-il valoir, Accor génère un revenu par chambre disponible (RevPAR) bien supérieur à celui de ses concurrents et son objectif d'une croissance de 15% de son BPA à quatre ans est proche de celui de IHG en tenant compte des rachats d'actions.'Si les catalyseurs restent limitées à court terme, nous considérons cet accès de faiblesse comme un point d'entrée attractif dans une optique de long terme', conclut-il.;positive
6;19/06/24 13:58;AC;Hôtellerie Restauration Tourisme;Accor: en tête du CAC 40, Barclays voit un point d'entrée;Accor monte mercredi à la Bourse de Paris à la suite d'un relèvement de conseil de Barclays, qui juge injustifiée la sous-performance du titre face à ses comparables.L'action prend plus de 2% vers 13h45, signant la plus forte hausse de l'indice parisien CAC 40, lui-même en repli de 0,4%.Dans une note, le broker fait remarquer que le titre a significativement sous-performé ses pairs ces 12 derniers mois pour désormais afficher une décote de 34% par rapport à InterContinental Hotels Group (IHG).La valeur accuse également une décote par rapport à sa propre moyenne historique.Pourtant, fait-il valoir, Accor génère un revenu par chambre disponible (RevPAR) bien supérieur à celui de ses concurrents et son objectif d'une croissance de 15% de son BPA à quatre ans est proche de celui de IHG en tenant compte des rachats d'actions.'Si les catalyseurs restent limitées à court terme, nous considérons cet accès de faiblesse comme un point d'entrée attractif dans une optique de long terme', conclut-il.Barclays relève en conséquence sa recommandation sur le titre de 'pondérer en ligne' à 'surpondérer' avec un objectif de cours rehaussé de 33 à 48 euros.;positive
7;19/06/24 12:20;AC;Hôtellerie Restauration Tourisme;Accor : Barclays relève à Surpondérer;"Barclays relève sa recommandation sur Accor de ""Pondération en ligne"" à ""Surpondérer"" tout en rehaussant son objectif de cours de 33 à 48 euros. ""La sous-performance de Accor par rapport à ses pairs du secteur hôtelier est injustifiée"", selon la banque britannique. ""Il existe un potentiel considérable de revalorisation des actions au cours de l'année ou des deux prochaines années, en particulier avec d'autres catalyseurs potentiels tels que la cession de la participation d'AccorInvest et une éventuelle séparation de la division Luxe et style de vie"", souligne Barclays.";positive
8;18/06/24 12:20;AC;Hôtellerie Restauration Tourisme;Accor: BlackRock franchit 5% du capital;La société BlackRock, agissant pour le compte de clients et de fonds dont elle assure la gestion, a déclaré à l'AMF avoir franchi en hausse, le 14 juin 2024, le seuil de 5% du capital de la société Accor et détenir, pour le compte desdits clients et fonds, 5,42% du capital et 4,60% des droits de vote de cette société.Ce franchissement de seuil résulte d'une augmentation du nombre d'actions Accor détenues à titre de collatéral.;positive
9;14/06/24 12:43;AC;Hôtellerie Restauration Tourisme;Accor: BlackRock sous les 5% du capital;La société BlackRock, agissant pour le compte de clients et de fonds dont elle assure la gestion, a déclaré à l'AMF avoir franchi en baisse, le 12 juin 2024, le seuil de 5% du capital de la société Accor et détenir, pour le compte desdits clients et fonds, 4,91% du capital et 4,16% des droits de vote de cette société.Ce franchissement de seuil résulte d'une cession d'actions Accor sur le marché et d'une diminution du nombre d'actions Accor détenues à titre de collatéral.;negative
