date;ticker;sector;title;content;sentiment
06/10/25 02:00;LVMH MOËT HENNESSY LOUIS VUITTON SE (MC);Textile Habillement Accessoires;LVMH affiche des résultats annuels solides et une croissance remarquable dans le luxe;"LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) (+11,05% à 528,48 euros) caracole en tête de l'indice boursier après avoir dévoilé des résultats annuels robustes malgré un environnement perturbé. Dans le sillage de cette performance, les valeurs du luxe s'affichent en hausse. Toutes les activités de LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) présentent une croissance organique soutenue de leurs ventes à l'exception des vins et spiritueux. Le groupe a réalisé une croissance organique à deux chiffres en Europe, au Japon et dans le reste de l'Asie.

En 2024, son résultat opérationnel courant s'établit à un niveau comparable à celui de 2023, à 22,8 milliards d'euros en ajustant les données 2023  pour une meilleure comparaison. La marge opérationnelle courante est stable par rapport à 2023. Le résultat net part du groupe s'élève pour sa part à 12,5 milliards d'euros. Ses ventes s'élèvent à 84,6 milliards d'euros, en croissance organique de 7% par rapport à 2023 (79,1 milliards d'euros).

LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) signe une performance remarquable de l'activité mode et maroquinerie avec une croissance organique de 8% de ses ventes (42 milliards d'euros). L'activité parfum et cosmétiques affiche également une dynamique particulièrement forte : croissance organique de 7% des ventes. L'activité montres et joaillerie réalise une croissance organique de 5% de ses ventes en 2024.

Toutefois, ses ventes de vins et spiritueux ont reculé de 3% en organique en raison d'une base de comparaison et un niveau de stock élevés. Mais LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) souligne que l'année 2024 a été marquée par une progression du champagne.

Stifel : ""une bonne maîtrise des coûts"". Commentant ces résultats annuels, Stifel reste à l'Achat sur le titre LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) maintenant son objectif de cours à un niveau comparable. ""Sur le front de la rentabilité, les investisseurs craignaient un échec, mais la bonne maîtrise des coûts a permis de battre le consensus. La marge opérationnelle du groupe  a dépassé les attentes. Le directeur financier a confirmé que le groupe veut maintenir le niveau actuel de rentabilité en 2025 grâce à de nouvelles mesures de contrôle des coûts.

LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) a annoncé qu'il proposera un dividende de 13 euros par action lors de l'assemblée générale. Un acompte sur dividende a été distribué. Le solde sera mis en paiement.";positive
15/04/24 02:00;LVMH MOËT HENNESSY LOUIS VUITTON SE (MC);Textile Habillement Accessoires;LVMH : Chiffre d'affaires en baisse de 10% au premier trimestre 2024, les investisseurs inquiets.;LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) affiche une baisse notable de son chiffre d'affaires consolidé au premier trimestre 2024, enregistrant une diminution de l'ordre de 10% en comparable par rapport à l'année précédente. Cette performance est principalement attribuable à un recul marqué de certaines de ses marques emblématiques, notamment en Asie-Pacifique. Le chiffre d'affaires de certaines de ses marques devrait être en retrait de près de 20% en comparable au 31 mars. Par ailleurs, l'effet combiné sur le chiffre d'affaires publié de la contribution positive liée à de récentes acquisitions et de l'impact négatif des taux de change est estimé de l'ordre de -1% à -2%. LVMH MOËT HENNESSY LOUIS VUITTON SE (MC) dévoilera son chiffre d'affaires du premier trimestre 2024 le 23 avril prochain après bourse. Cette annonce entraîne une baisse du cours de l'action LVMH, actuellement à 868,11 €, dans un contexte où les valeurs du luxe sont particulièrement scrutées. Les investisseurs s'inquiètent de cette tendance baissière qui affecte l'ensemble du secteur.;negative
13/12/24 01:00;L'ORÉAL (OR);Chimie Pharmacie Cosmétiques;L'ORÉAL : Le bureau d'analyses confirme son conseil à l'achat avec un objectif de cours à 300 €;"Le bureau d'analyses confirme son conseil à l'achat et son objectif de cours à 300 € après la publication des chiffres du 3ème trimestre. Après la performance du 1er trimestre, nous relevons nos prévisions de chiffre d'affaires de L'ORÉAL de +2%-3% pour un bénéfice par action (BPA) de +5%-6%, avec des perspectives qui devraient être relevées au 2ème trimestre d'une baisse faible à une croissance potentielle, selon nous, sur la base d'une plus grande précision de l'approvisionnement en matières premières et de l'expansion de la gamme de produits de soins capillaires aux États-Unis.

' Nous pensons que la qualité du portefeuille de produits de L'ORÉAL reste sous-estimée, avec de nombreuses innovations en cours de développement cette année pour renforcer progressivement la confiance, bien que la conclusion de certains projets de recherche et développement au 3e trimestre semble incertaine, mais reste probablement favorable au rapport risque/récompense de l'action : +4%-6% contre -1%-2%', rajoute le bureau d'analyses.

Avec un cours actuel à 262,13 € et des revenus annuels en constante progression (41,18 milliards d'euros en 2023), L'ORÉAL semble bien positionné pour continuer à afficher une croissance solide dans les prochains trimestres. La solide performance financière de l'entreprise, avec un bénéfice net de 6,18 milliards d'euros en 2023, renforce la confiance des investisseurs dans la capacité de L'ORÉAL à maintenir une trajectoire de croissance positive.";positive
26/02/25 01:00;L'ORÉAL (OR);Chimie Pharmacie Cosmétiques;L'Oréal : Recul du résultat net et du chiffre d'affaires en 2023, mais un dividende maintenu.;"L'Oréal annonce un résultat net part du groupe en recul de 6,5% en 2023 à 6,18 milliards d'euros, pour un chiffre d'affaires en baisse de 3,2% à 41,18 milliards d'euros. Le leader mondial de la cosmétique invoque une baisse des volumes ""essentiellement sur les ventes de produits non stratégiques"" et un effet de change négatif. Il proposera la distribution d'un dividende de 4,80 euro par action mis en paiement le 5 juin. Sur l'année 2024, l'évolution des ventes et de la rentabilité du groupe dépendra ""du niveau de demande dans les différents marchés, du lancement de nouveaux produits et de l'évolution de la situation économique mondiale"", annonce L'Oréal.";negative
19/11/24 01:00;HERMÈS INTERNATIONAL (RMS);Textile Habillement Accessoires;Hermès International : Le Luxe Résiste et Affole les Records avec un Chiffre d'Affaires de 15,17 Milliards !;HERMÈS INTERNATIONAL (RMS) : La tendance est haussière à court terme. Le titre du géant du luxe français retrouve des couleurs. Le titre continue de prendre de l'épaisseur alors même que l'environnement général est à la méfiance, porté par des résultats financiers solides. En effet, les derniers revenus annuels de l'entreprise affichent une progression remarquable, avec un chiffre d'affaires total qui s'est élevé à 15,17 milliards d'euros en 2024, et un bénéfice net de 4,60 milliards d'euros sur la même période. Quel scénario est à privilégier pour accompagner cette croissance ? par Daniel Cohen de Lara, Président de l'AFATE.;positive
26/04/25 02:00;HERMÈS INTERNATIONAL (RMS);Textile Habillement Accessoires;Hermès en tête des pertes dans le luxe : les analystes revoient à la baisse leurs objectifs de cours !;HERMÈS INTERNATIONAL (RMS) : Le secteur du luxe est dans le rouge, Hermès en tête. Pénalisé par ses performances fondamentales et boursières en berne, le groupe enchaîne les mauvaises performances malgré ses chiffres solides. En conséquence, les analystes financiers ont revu à la baisse leurs objectifs de cours en raison d'une croissance des revenus et du bénéfice net plus faible que prévu. À titre indicatif, le cours actuel de 255,18 € est jugé élevé au regard des résultats des derniers exercices, notamment avec un bénéfice net de 4,6 milliards d'euros pour un chiffre d'affaires de 15,17 milliards d'euros au 31 décembre 2024. Quels sont les nouveaux objectifs à connaître ?;negative
18/05/25 02:00;TOTALENERGIES SE (TTE);Energie et Produits de base;"""TotalEnergies : les indicateurs du premier trimestre 2024 montrent une stabilité et une croissance prometteuse""";"TOTALENERGIES SE (TTE) a publié ses principaux indicateurs pour le premier trimestre 2024. La production d'hydrocarbures est attendue stable, supérieure à 2,45 millions de barils équivalent pétrole par jour, malgré la cession d'actifs non précisée effective au cours du quatrième trimestre 2023, portée par la hausse de la production GNL et les démarrages de nouveaux projets. Les résultats d'Integrated Power sont attendus en hausse grâce à la croissance de l'activité.

En outre, le groupe pétrolier indique que son indicateur de marge de raffinage européen a progressé en rythme séquentiel pour s'établir à 71,7 dollars par tonne sur ce premier trimestre 2024, contre 52,6 dollars au quatrième trimestre 2023. Les résultats de l'Aval reflèteront la hausse des marges de raffinage, le taux d'utilisation des raffineries au premier trimestre 2024 étant globalement stable par rapport au quatrième trimestre 2023.

Compte tenu de la faible volatilité au premier trimestre 2024, les résultats des activités de négoce pétrole et GNL sont attendus dans la moyenne historique. Cette tendance positive devrait contribuer à une performance financière solide pour l'entreprise, qui a déjà démontré sa capacité à générer des revenus significatifs, avec un total de 218,945 milliards de dollars de chiffre d'affaires en 2023 et un bénéfice net de 21,384 milliards de dollars.";positive
25/02/25 01:00;TOTALENERGIES SE (TTE);Energie et Produits de base;TotalEnergies : l'assemblée générale sous haute tension des militants climat et des actionnaires;"TOTALENERGIES SE (TTE) se prépare à une nouvelle assemblée générale sous tension, que les manifestants de la cause climatique se verraient bien bousculer vendredi au moment où les actionnaires doivent se prononcer sur les sujets du climat et la reconduction du PDG Patrick Pouyanné.

Pour la première fois depuis deux décennies, la quatrième major mondiale du pétrole et plus grosse entreprise française par le bénéfice, qui célèbre cette année une nouvelle étape de son développement, tiendra sa grand-messe annuelle à domicile, dans sa tour de 48 étages à La Défense, plutôt que dans une salle en plein Paris.

Objectif : éviter ""d'immobiliser un quartier de Paris"", explique le groupe, comme cela s'était produit lors d'une édition 2023 tumultueuse, marquée par des échauffourées entre manifestants et policiers aux abords de la salle accueillant l'événement.

Un an plus tard, la pression n'est pas retombée. Dans la rue ou devant les tribunaux, le groupe reste sous le feu des critiques des défenseurs du climat, qui lui reprochent d'aggraver le réchauffement de la planète et de nuire à la biodiversité et aux droits humains, du fait de ses activités dans le gaz et le pétrole.

Des organisations ont appelé explicitement à bousculer l'AG. Parmi elles, le mouvement Extinction Rébellion qui exige ""l'abandon"" des projets phare en Ouganda/Tanzanie, au Mozambique et en Papouasie-Nouvelle-Guinée, et, préconisation de l'Agence internationale de l'énergie, ""l'arrêt de tout investissement dans de nouveaux projets fossiles"".

Entre ""300 et 600"" manifestants sont attendus, selon une source policière. ""Un gros dispositif"" est prévu, a précisé la source, qui s'attend comme l'an dernier à des confrontations entre écologistes et actionnaires.

Face au ""risque"" de troubles à l'ordre public, le préfet de police de Paris a pris un arrêté d'interdiction des manifestations non déclarées dans un périmètre autour de la Tour Coupole.

À l'ordre du jour, les actionnaires, présents ou en ligne, seront appelés à voter sur la stratégie climat de TOTALENERGIES SE (TTE), certains investisseurs réclamant aussi une transition énergétique plus ambitieuse. Mardi, 22% des actionnaires de Shell ont ainsi rejeté son plan climatique, une proportion relativement élevée.

L'an dernier, chez TOTALENERGIES SE (TTE) une résolution purement consultative émanant d'actionnaires militants avait même recueilli 30,4% des votes. Elle demandait à l'entreprise d'aligner ses objectifs de réduction d'émissions de gaz à effet de serre sur l'accord de Paris de 2015, pour limiter le réchauffement planétaire à +1,5°C par rapport à l'ère pré-industrielle (le monde en étant déjà à environ 1,2°C).

Le président-directeur général de TOTALENERGIES SE (TTE), Patrick Pouyanné, s'exprime lors d'une session du Forum économique du Qatar à Doha, le 15 mai 2024.

Cette fois, aucune résolution consultative ne s'annonce. Une coalition d'actionnaires revendiquant 0,9% du capital a réclamé en vain, jusque devant la justice, une résolution non contraignante visant ""à mettre fin au cumul des fonctions de président et directeur général"" occupées par Patrick Pouyanné, pour le maintenir au seul poste de directeur général.

Un choix impensable pour le conseil d'administration, attaché à la ""stabilité stratégique"" de la compagnie qui a engrangé 21,4 milliards de dollars de bénéfices en 2023, après 20,5 milliards en 2022, et 16,03 milliards en 2021 , et proposera aux actionnaires de reconduire le PDG pour un quatrième mandat.

Le bouillant dirigeant aux manettes de l'entreprise depuis 10 ans présidera cette assemblée sur fond de polémique après ses déclarations sur une éventuelle délocalisation de la cotation principale du groupe de Paris à la Bourse de New York. Des propos qui ont déclenché les foudres de la classe politique, de Bruno Le Maire à Emmanuel Macron.

Comme pour apaiser les critiques, il a évoqué jeudi dans Le Figaro une ""erreur de traduction"" : il ne voulait pas parler d'une cotation principale à Wall Street mais d'une transformation en actions classiques des titres déjà échangés sous une forme réservée aux entreprises étrangères.

M. Pouyanné met en avant le fait que les Américains achètent plus d'actions que les Européens, davantage contraints par des règles d'investissement durable.

Le PDG le répète, TOTALENERGIES SE (TTE) est ""le groupe pétrolier le plus impliqué dans la transition énergétique"". Un tiers de ses investissements est consacré aux énergies bas carbone, dont 95% d'électricité renouvelable.

Mais en septembre, le think tank Carbon Tracker estimait que ""seule"" la compagnie pétrolière italienne Eni avait des objectifs de réduction d'émissions ""potentiellement"" alignés sur l'accord de Paris. TOTALENERGIES SE (TTE) arrivait deuxième avant Repsol et BP, loin devant le Saoudien Aramco ou l'Américain ExxonMobil.";negative
22/08/24 02:00;SANOFI (SAN);Chimie Pharmacie Cosmétiques;Sanofi : Barclays relève son objectif de cours et confirme sa recommandation d'achat;SANOFI (SAN) s'apprécie légèrement à Paris, suite à la confirmation par Barclays de sa recommandation 'pondérer en ligne' sur le titre, avec un objectif de cours ajusté pour refléter les nouvelles perspectives de croissance. L'analyste a révisé ses prévisions de dépenses opérationnelles pour SANOFI, intégrant les dernières tendances du secteur de la santé. Les estimations de ventes pour certains médicaments clés, tels que ceux dans le portefeuille de SANOFI, ont été ajustées pour anticiper une croissance prolongée jusqu'en 2033, bénéficiant ainsi d'une visibilité à long terme. De plus, les prévisions de résultats pour le premier trimestre ont été mises à jour pour refléter les conditions actuelles du marché. Barclays se montre désormais aligné avec le consensus des analystes et prévoit des performances pour 2024 supérieures aux objectifs fixés par SANOFI, témoignant d'une confiance renouvelée dans la capacité de l'entreprise à délivrer de solides résultats.;positive
24/11/24 01:00;SANOFI (SAN);Chimie Pharmacie Cosmétiques;Sanofi annonce une baisse du résultat net et du chiffre d'affaires au premier trimestre 2024.;"Sanofi dévoile un résultat net en baisse de 12,1% à 556 millions d'euros au titre du premier trimestre 2024, soit 4,44 euros par action, ainsi qu'un EBITDA en retrait de 3,2% à 1,33 milliard d'euros, soit une marge d'EBITDA en légère progression de 0,3 point à 23,1%. Le chiffre d'affaires a diminué de 5,5% à 11,07 milliards d'euros, avec une légère progression des volumes, mais un effet prix négatif reflétant surtout la pression sur les prix de certains médicaments et les conditions de marché encore défavorables dans certains domaines thérapeutiques. 
Sanofi s'est attaché à gérer strictement ses opérations et à progresser dans la réalisation de ses principaux projets en cours afin d'en recueillir les premiers bénéfices dès le printemps, indique son PDG Paul Hudson. Le groupe de santé confirme son objectif pour l'année 2024 d'un EBITDA estimé entre 10,5 et 11,5 milliards d'euros, 'en fonction du niveau de la reprise de la demande, et avec une saisonnalité davantage pondérée sur la deuxième partie de l'année'.";negative
05/08/25 02:00;AIRBUS SE (AIR);Aéronautique Espace Armement;Breeze Airways commande 10 avions A220-300 supplémentaires à Airbus SE.;Nous sommes heureux d'annoncer qu'une compagnie aérienne de premier plan, Breeze Airways, a passé commande auprès d'Airbus SE de 10 avions A220-300 supplémentaires. Cette nouvelle commande porte à 90 le nombre total de commandes fermes de Breeze pour ce type d'avion, faisant de cette compagnie aérienne l'un des principaux clients d'Airbus SE pour l'A220. Par ailleurs, Breeze Airways a confirmé son engagement à utiliser une flotte entièrement composée d'Airbus A220 pour ses opérations commerciales d'ici la fin de l'année 2024. Rappelons que Breeze Airways avait reçu la livraison de son premier Airbus A220 en décembre 2021 et qu'elle exploite actuellement 20 appareils à travers les États-Unis. Cette nouvelle démontre la confiance des compagnies aériennes dans les produits d'Airbus SE et confirme la position de leader de l'entreprise dans le secteur aéronautique. Grâce à sa gamme de produits innovants et performants, Airbus SE continue de répondre aux besoins des compagnies aériennes et de leurs passagers. Les revenus d'Airbus SE ont continué de progresser ces dernières années, avec un chiffre d'affaires total qui atteint 69,23 milliards d'euros en 2024, tandis que le bénéfice net de l'entreprise a également augmenté, s'établissant à 4,23 milliards d'euros en 2024.;positive
14/06/25 02:00;AIRBUS SE (AIR);Aéronautique Espace Armement;"""Airbus SE : La tendance baissière se poursuit, attention à la résistance oblique""";"Actionnaires d'Airbus SE (AIR),

Nous vous informons d'une situation préoccupante concernant l'évolution du cours de notre action. Sur les 5 dernières séances, le cours de l'action Airbus SE a affiché une baisse notable de -5%, témoignant d'une structure graphique peu encourageante. Ce schéma n'est pas isolé, car nous avons observé depuis mi-octobre une tendance à des hausses significatives de +5 ou +6% en 4 ou 5 séances, suivies de rechutes équivalentes et rapides.

Il est crucial de surveiller de près la situation technique, notamment la résistance oblique (baissière) qui se situe actuellement aux alentours de 555 €, proche du cours actuel. Le test du niveau de support à 540 € pourrait être en ligne de mire, si la tendance baissière se poursuit.

Nous vous invitons à rester vigilants face à cette situation et à suivre les recommandations de nos équipes de gestion et d'analyse pour ajuster vos stratégies en conséquence.

Ce suivi sera maintenu et des informations supplémentaires vous seront communiquées si nécessaire.";negative
