ACA.PA-shares,ACA.PA-total,AI.PA-shares,AI.PA-total,AIR.PA-shares,AIR.PA-total,BN.PA-shares,BN.PA-total,BNP.PA-shares,BNP.PA-total,CS.PA-shares,CS.PA-total,DG.PA-shares,DG.PA-total,DSY.PA-shares,DSY.PA-total,EL.PA-shares,EL.PA-total,KER.PA-shares,KER.PA-total,MC.PA-shares,MC.PA-total,OR.PA-shares,OR.PA-total,RI.PA-shares,RI.PA-total,RMS.PA-shares,RMS.PA-total,SAF.PA-shares,SAF.PA-total,SAN.PA-shares,SAN.PA-total,STLAM.MI-shares,STLAM.MI-total,STMPA.PA-shares,STMPA.PA-total,SU.PA-shares,SU.PA-total,TTE.PA-shares,TTE.PA-total,cashflow,host-timestamp,last-news,market-timestamp,nbr-news-displayed,news-mode,request 1,request 10,request 2,request 3,request 4,request 5,request 6,request 7,request 8,request 9,selected-company,selected-graph,selected-news
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808068.573816,"L'Oréal: à 454E, revient à 1% de son record absolu",2024-02-22 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808069.582211,"L'Oréal: à 454E, revient à 1% de son record absolu",2024-02-22 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"L'Oréal qui gagne plus de 2% à 454E, revient à 0,4% de son record de clôture de 455,75E du 5 février et à environ 1% de son record absolu des 460E des 19 décembre et 6 février (qui coïncide avec une grosse résistance oblique moyen terme).En cas de franchissement, les dernières oscillations entre 420 et 460E induisent un potentiel de hausse vers 500E."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808071.264292,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-23 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808074.210258,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-24 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"UBS confirme son conseil à l'achat sur le titre et relève son objectif de cours à 72 E (au lieu de 70 E) ce qui représente un potentiel de hausse de 17%.L'analyste estime qu'il s'agit ' d'une histoire de transformation qui porte déjà ses fruits '.' Nous pensons que Danone peut atteindre durablement une croissance organique de l'EBIT de plus de 8 % par an au cours des 4 prochaines années. Cela conduira à des mises à niveau et une réévaluation ' indique UBS.Pour 2024, Danone prévoit une croissance du chiffre d'affaires en données comparables entre 3 et 5%, ainsi qu'une amélioration modérée de la marge opérationnelle courante."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808075.472754,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-24 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808076.324126,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-24 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"Air Liquide aligne une pluie de records absolus, avec 2,2% ce vendredi et +11% hebdo à 190E.La dernière oscillation entre 179,5 et 167,5E induisait un potentiel de hausse vers 191,5E, c'est à dire 1% au-delà du cours de clôture de ce 23 février.Bien sûr, tous les actionnaires espèrent voir Air Liquide s'inscrire à 200E."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808077.067846,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-25 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"Air Liquide aligne une pluie de records absolus, avec 2,2% ce vendredi et +11% hebdo à 190E.La dernière oscillation entre 179,5 et 167,5E induisait un potentiel de hausse vers 191,5E, c'est à dire 1% au-delà du cours de clôture de ce 23 février.Bien sûr, tous les actionnaires espèrent voir Air Liquide s'inscrire à 200E."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808077.110592,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-25 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808078.324849,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-25 01:00:00+01:00,1000,news-description,,,,,,,,,,,MC.PA,tab-market,"Air Liquide aligne une pluie de records absolus, avec 2,2% ce vendredi et +11% hebdo à 190E.La dernière oscillation entre 179,5 et 167,5E induisait un potentiel de hausse vers 191,5E, c'est à dire 1% au-delà du cours de clôture de ce 23 février.Bien sûr, tous les actionnaires espèrent voir Air Liquide s'inscrire à 200E."
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1718808079.506923,"Air Liquide : pluie de records absolus, +11% hebdo à 190E",2024-02-25 01:00:00+01:00,1000,news-table,,,,,,,,,,,MC.PA,tab-market,
